Source,Target,Type,Id,Label,Weight
AC,AM,Directed,1405,,10.383182
AC,RO,Directed,1423,,4.094485
RO,MT,Directed,1440,,10.38008
RO,RR,Directed,1451,,12.024118
AM,RO,Directed,1475,,6.8547
AM,RR,Directed,1477,,5.972589
MT,DF,Directed,1488,,8.211373
MT,GO,Directed,1490,,6.929076
RR,AP,Directed,1511,,10.016846
RR,PA,Directed,1521,,12.929317
MS,GO,Directed,1542,,6.569593
MS,MT,Directed,1544,,5.076985
TO,MA,Directed,1569,,8.703004
TO,MT,Directed,1570,,9.433142
AP,MA,Directed,1594,,7.270441
AP,PA,Directed,1598,,2.976659
GO,MG,Directed,1623,,6.215924
GO,TO,Directed,1637,,6.503779
DF,GO,Directed,1645,,1.630766
DF,TO,Directed,1663,,5.563885
PA,PI,Directed,1680,,6.724927
PA,TO,Directed,1689,,8.786582
PR,SC,Directed,1712,,2.263141
PR,SP,Directed,1714,,3.233535
MA,PA,Directed,1728,,4.357083
MA,PI,Directed,1732,,2.908924
SP,ES,Directed,1749,,7.126646
SP,RJ,Directed,1760,,3.473899
PI,RN,Directed,1786,,7.632531
PI,TO,Directed,1793,,7.569283
MG,RJ,Directed,1811,,3.078301
MG,SP,Directed,1818,,4.543918
RS,PR,Directed,1835,,4.993123
RS,SC,Directed,1842,,3.580401
SC,RJ,Directed,1864,,7.114386
SC,SP,Directed,1870,,4.475304
RJ,PR,Directed,1887,,6.553073
RJ,SP,Directed,1896,,3.473899
ES,MG,Directed,1909,,3.647787
ES,RJ,Directed,1915,,3.919917
BA,AL,Directed,1925,,4.324518
BA,SE,Directed,1947,,2.488594
CE,PI,Directed,1966,,4.464301
CE,RN,Directed,1968,,3.913699
SE,CE,Directed,1981,,7.320876
SE,PB,Directed,1990,,4.395524
AL,PE,Directed,2017,,1.791221
AL,SE,Directed,2025,,1.855477
RN,AL,Directed,2029,,3.864132
RN,SE,Directed,2051,,5.443878
PE,RN,Directed,2072,,2.272221
PE,SE,Directed,2077,,3.602442
PB,PE,Directed,2095,,0.938968
PB,RN,Directed,2098,,1.353814
