Source,Target
AC,AM
AC,RO
AM,RR
RO,MT
RR,AP
RR,PA
MT,DF
MT,GO
MT,MS
MT,TO
GO,MG
AP,MA
PA,PI
MG,RJ
MG,SP
MG,ES
PI,RN
PI,CE
SP,PR
RN,AL
RN,SE
RN,PB
RN,PE
PR,SC
PR,RS
AL,BA
